sgrub pa bka' brgyad|huit préceptes transmis (Nyingma)
rig pa'i rtsal|les potentialités de l'intelligence immédiate, l'exercice de l'intelligence en soi, le pouvoir de l'auto-intelligence, les potentialités de l'immédiateté, la manifestation (ou l'exercice, l'expression) des potentialités de la connaissance immédiate (ou de la présence d'instantanéité)
rig pa'i rtsal lhung ba|tomber dans les potentialités de l'intelligence immédiate, tomber dans le pouvoir de l'auto-intelligence
rig pa'i sgo las shar|émergence par la porte de l'intelligence immédiate, apparaît par l'avenue (ou l'accès, le portail) de l'intelligence en soi
rig pa'i ye shes|cognition primordiale auto-intelligente, intelligence première d'immédiateté (ou immédiate), prime expérience d'intelligence en soi, l'expérience primordiale de l'intelligence en soi, la gnose de l'intelligence immédiate
rig shes|une connaissance qui sait
rig stong|l'intelligence vide (p67, 76)
rig stong dbyer med|intelligence vide non deux, intelligence en soi vide indissociablement, indissociabilité d'intelligence immédiate et vide
rig stong rjen pa|intelligence immédiate vide, nue
rig stong rjes med|(l'état) d'intelligence vide sans suite (p76), l'intelligence vide qui ne laisse trace
rim gyis 'jug pa|entrer graduellement, entrer pas-à-pas
rim gyis pa|les gradualistes (n193)
rin po che 'bar ba|flamboiement de joyaux (signe de claire lumière, n238)
ris med pa|un individu non sectaire (dans sa vue), partisan (du mouvement, ou de la tradition) non sectaire
ris med|sans orientation (p70), sans différence (p72), non sectaire, sans parti pris, libre des (vues) partisanes, sans division, n'es pas divisible en, absence de division entre (ex. l'émergence des phénomènes et leur libération)
ris dang bral|sans orientation (p70), sans différence (p72), non sectaire, sans parti pris, libre des (vues) partisanes, sans division, n'es pas divisible en, absence de division entre (ex. l'émergence des phénomènes et leur libération)
rje ne|nu et dépouillé (p72)
rjes|suite, traces, après
rjes med|sans suite (p67), sans traces
rjes med rang dag|auto purifié sans laisser de traces
rjes mthun gyi thim rim|les étapes de la dissolution analogique (p100)
rjes shes|expérience subséquente (p79), compréhension (ou expérience, cognition, connaissance) résultante, conscience post-méditative
rjes spyod|les activités subséquentes (p98), conduite (ou comportement) post-méditatif
rjes su rnal 'byor|Anuyoga
rjes su rnal 'byor gyi theg pa|véhicule de l'Anuyoga
rjes thob|prishthalabdha, les circonstances après l'assise (p93), la réalisation subséquente, expérience post-méditative
rkyen|circonstance(s), circonstanciel, facteurs, conditions, aléas
rkyen du ma la bsam pa|la considération de tous les aléas (p26)
rlung|souffle(s)
rlung bum can|la respiration vase (n320)
rlung 'phel med du sdod pas rnam rtog g.yo ba'i rkyen zad|le souffle à demeure, sans amplifications, épuise les facteurs d'agitation des pensées (n298)
rlung sems|les souffles esprit (p89)
rna brgyud|lignée de (bouche à) oreille, lignée murmurée (à l'oreille)
rnal 'byor bzhi|les quatre yogas
rnal 'byor chen po|Mahayoga
rnal 'byor chen po'i rgyud kyi theg pa|véhicule du Mahayoga
rnal 'byor gyi rgyud|Yoga Tantra
rnal 'byor gyi rgyud kyi theg pa|véhicule du Yoga Tantra
rnal 'byor lam|la voie du yoga, la voie des yogis
rnal 'byor ma|yoginî
rnal 'byor pa|yogi, pratiquant (du yoga), ceux immergés en l'état d'être naturel (ou authentique)
rnal 'byor spyod pa|Yogachara, Yogacharin
rnal 'byor spyod pa'i dbu ma|Yogachara Madhyamika
rnal 'byor|yoga, union à l'état naturel, unification, immersion en l'état d'être authentique (ou naturel), union
rnal du 'byor ba|yoga, union à l'état naturel, unification, immersion en l'état d'être authentique (ou naturel), union
rnal bzhag chen po|la grande aise naturelle, l'aise naturelle suprême, le grand 'demeurer naturellement', le grand 'rester à demeure en l'état naturel', le grand état de repos naturel, le grand laisser être naturel, grande suspension impassible (ou impavide) en le naturel de l'être (ou le repos naturel), le grand repos dans la condition authentique, totalement établi en l'état naturel, le grand état naturel du repos à demeure
rnal gzhag chen po|la grande aise naturelle, l'aise naturelle suprême, le grand 'demeurer naturellement', le grand 'rester à demeure en l'état naturel', le grand état de repos naturel, le grand laisser être naturel, grande suspension impassible (ou impavide) en le naturel de l'être (ou le repos naturel), le grand repos dans la condition authentique, totalement établi en l'état naturel, le grand état naturel du repos à demeure
rnal du dbab pa|repos en l'état naturel (p80), laisser tomber en l'être authentique, tomber en l'authenticité, laisser choir en l'état naturel, doucement tomber en l'état d'être naturel
rnal ma|authentique, naturel, l'état naturel
rnam dag|parfaitement pur, pureté totale, totalement pur
rnam par dag pa|parfaitement pur, pureté totale, totalement pur
rnam dbye|distinctions
rnam pa thams cad pa|contenant tous aspects (p97), l'aspect de tous les phénomènes (p97)
rnam par dag pa'i sgron ma|la luminosité parfaitement pure (p86, 90, n268, 269)
rnam 'phrul|projections
rnam rtog grol|libérer le penser duel, libération de la pensée dualiste
"rnam rtog med pa; rnam par mi rtog pa"|nirvikalpa, l'absence de penser duel (p29), sans pensées discursives, sans concepts, sans conception, absence de pensées dualistes, sans pensées
rnam rtog ngo shes pa|reconnaître les pensées (duelles)
rnam rtog|vikalpa, penser duel, concepts, conception, pensées discursives, pensées dualistes, pensées
rnam par rtog pa|vikalpa, penser duel, concepts, conception, pensées discursives, pensées dualistes, pensées
rnam shes|vijñâna, conscience (duelle), cognition dualiste, connaissance de (quelque chose), expérience duelle
rnam par shes pa|vijñâna, conscience (duelle), cognition dualiste, connaissance de (quelque chose), expérience duelle
rnga yab|éventail fait d'une queue de yak (n160)
rnying ma pa|Nyingmapas, la tradition (ou école) des mantras (ou tantras) Anciens, l'école Ancienne, l'école des Anciens
ro gcig|ekarasa, être la même expérience que (Vairocana) (p105), saveur unique, l'état de n'être qu'une seule saveur, être d'une seule saveur, goût unique
ro langs|zombie, mort vivant
ro snyoms|samarasa, saveur égale, même saveur (ou goût), saveur identique, égalité de saveur, le processus de rendre tout(e chose) d'une même saveur
rol pa|une manifestation (p101), se manifester, déploiement
rol pa ci shar yang|quelle que soit la manifestation qui émerge (ou apparaisse), peu importe ce qui apparaît comme manifestation, indépendamment de ce qui émerge comme manifestation, sans distinction eu égard aux manifestations qui apparaissent
rol pa nges med|la manifestation est indéterminée
rol pa'i rtsal|les potentialités de la manifestation, l'exercice de la manifestation, le pouvoir de la manifestation, les potentialités de la manifestation, l'exercice (ou l'expression) des potentialités de la manifestation
rol pa rtsal|les potentialités de la manifestation, l'exercice de la manifestation, le pouvoir de la manifestation, les potentialités de la manifestation, l'exercice (ou l'expression) des potentialités de la manifestation
rtag chad|être et non être, éternité et néant, éternalisme et nihilisme
rtag lta ba|la vue éternaliste, éternalisme, vision de la permanence
rtags|les signes (de succès des pratiques) (p96), indication
rtags tshad|les signes (de succès des pratiques) et leurs évaluations (p96)
rten|support (p97)
rten 'brel|circonstances adéquates (p22), facteur propice (p24)
rtog med ye shes|la prime expérience aconceptuelle
rtog med|"aconceptuel (p69), sans pensées discursive, non pensée ; non pensée, non discursif, sans pensées, non conceptuel ; la non pensée, n'impliquant pas de concept (de)"
rtog pa med pa|"aconceptuel (p69), sans pensées discursive, non pensée ; non pensée, non discursif, sans pensées, non conceptuel ; la non pensée, n'impliquant pas de concept (de)"
mi rtog pa|"aconceptuel (p69), sans pensées discursive, non pensée ; non pensée, non discursif, sans pensées, non conceptuel ; la non pensée, n'impliquant pas de concept (de)"
rtog pa|penser duel, conceptuel, pensée discursive, penser, pensée
rtog tshogs|schémas conceptuels
rtogs pa|comprendre directement (p69), compréhension, réalisation
rtsa|canal, artère, nâdi, veine
rtsa ba|source, racine, fondamental
rtsa ba'i bla ma|Lama racine, Lama source
rtsa rlung|canaux et souffles
rtsa rlung thig le|les canaux, les souffles et les bindus, le corps, le souffle et l'esprit (p29), nâdî, prâna (ou vâyu) et bindu, tsa-lung-tiglé (n76)
rtsa rlung thig le'i rnal 'byor|yogas des canaux, souffles et bindus, yoga des tsa-lung-tiglé
rtsal|exercices (p72), le pouvoir (p106), potentiel, potentialités, les ouvres, énergie, énergie créatrice, expressions (de), énergie dynamique (de), dynamisme (de)
rtsal rdzogs|parachèvement des potentiels (de), perfection de l'énergie dynamique (de), perfection du dynamisme de
rtsal sbyang|développer ses potentialités (p83)
rtsal sbyong|exercice (de la pratique)
rtsal snang|les exercices des apparences (p73), les apparences sont manifestations des potentialités (de l'esprit) (p73), les apparences se manifestent comme exercice de leurs potentialités, apparences issues de l'exercice des potentialités (p74)
rtse gcig|tikagrata, uniquement tout avec lui (p65), tout à ça - sans s'en distraire (p88), tout à ça (p103), en un point, une seule chose à la fois, tout absorbé en un seul point, en unicité, 'one point only', 'onepointedness', uniquement (n175)
rtsibs shar gyen 'greng|des rais (quinticolores) dressés (p88, n280)
rtsol med|non contraint, l'état sans effort, l'état libre d'effort, sans effort, sans qu'il n'y ait aucun effort à faire
rtsol med kyi bstan pa|l'enseignement de l'état non contraint
rtsol sgrub|chercher la réalisation, effort et accomplissement, rechercher et accomplir
rtsol zhing sgrub pa|chercher la réalisation, effort et accomplissement, rechercher et accomplir
ru log|renversement, interversion, revirement, le processus de renversement de la matière solide en énergie rayonnante
ru shan|différentiation, distinction, séparation, division (n228), les exercies de rushen
sa|terre, degré, niveau, état
sa bcu|les dix terres, dix bhûmis
sa gcig pa|terre unique, unique état
sa gter|trésor de la terre, terma terrestre
sa lam|les degrés et chemins (p106)
sa le ba|en l'état clair et vide (p94), lucide et clair, clarté vive et cristalline, vif et ouvert, vivide et ouvert, vividement clair
sa le ba'i ngang du|en le contexte d'une ouverture vive et cristalline (ou vivide)
sal le|claire (et) brillant (p74)
sang nge|dégagé et transparent (p69, 70), ouvert et dégagé (p72), ouvert et translucide
sangs rgyas|l'état d'éveil, bouddha, un être éveillé
sangs rgyas kyi yon tan la brten nas|(l'entraînement de l'esprit) basé sur les qualités de Bouddha (p28)
sangs rgyas pa|s'éveiller, obtenir (ou devenir, atteindre) bouddha
sbyin pa|générosité, don
sbyong lam|la voie de la purification
sbyor lam|la voie de la jonction, voie de l'union, voie de l'approche
sbyor sgrol|rites sexuels et rites meurtriers
sdod pa gsum gyis tshad gzung|les trois repos à demeure en lesquels est appréhendé l'état véritable (p91)
sems|citta, esprit (p21, 59, 98), pensées, processus de pensée, le penser, esprit ordinaire
sems bskyed|bodhicittotpâda, engendrer bodhicitta, générer (ou susciter, cultiver, produire, stimuler, concevoir) l'esprit d'éveil (ou l'éveil de l'esprit du cour, le cour-esprit éveillé, le cour-esprit d'éveil)
byang chub sems bskyed|bodhicittotpâda, engendrer bodhicitta, générer (ou susciter, cultiver, produire, stimuler, concevoir) l'esprit d'éveil (ou l'éveil de l'esprit du cour, le cour-esprit éveillé, le cour-esprit d'éveil)
sems 'byung|caitta, occurrences de l'esprit, événements de la cognition, ce qui apparaît à l'esprit, apparition mentale, émergence de l'esprit, contenu de l'esprit
sems byung|caitta, occurrences de l'esprit, événements de la cognition, ce qui apparaît à l'esprit, apparition mentale, émergence de l'esprit, contenu de l'esprit
sems bzo med la mi 'gul bas dbyings rig zung du chud par byed|immobile en l'état de non fabrication de l'esprit, l'union de l'immensité et de son intelligence se réalise (n289)
sems can|sattva, les vivants, êtres sensibles
sems 'dzin|les fixations de l'esprit (p80), méditation, le cour de la méditation, tenir ou poser l'esprit, tenir l'esprit (en l'expérience stable d'une seule chose) (n175)
sems grol|libérer l'esprit, libérer l'esprit mental (ou pensant)
sems klong man ngag|les collections (ou catégories, séries) de l'Esprit, de l'Immensité (ou de l'Espace) et des Instructions spéciales (ou des Transmissions Directes)
sems klong man ngag gi sde|les collections (ou catégories, séries) de l'Esprit, de l'Immensité (ou de l'Espace) et des Instructions spéciales (ou des Transmissions Directes)
sems kyi gnas lugs|le sens de l'esprit, disposition essentielle de l'esprit, condition naturelle de l'esprit, mode d'être de l'esprit
sems kyi ngo bo|l'essence de l'esprit
sems kyi snang ba|manifestation de l'esprit, perception de l'esprit, perception, apparences de l'esprit, les claires apparences de l'esprit, les apparences de clarté de l'esprit
