bsgrub pa bka' brgyad|huit préceptes transmis (Nyingma)
gzung bya|objet appréhendé
yongs 'dzin gyi rgyu|cause de pleine saisie
rnam pa|aspect, forme, mode, particularité, groupe, facteur, espèce
byang chub|éveil
byang chub sems dpa'|bodhisattva, héros pour l'éveil
sangs rgyas kyi snying po|essence d'un Éveillé
rgyu'i rkyen|condition causale
rgyu|cause
mthun par rtog pa'i rgyu|cause de réalisation commune
skal mnyam gyi rgyu|cause pareille
dbu ma|1) milieu; 2) canal central
dbu ma pa|Tenant(s)-du-milieu
'gog pa|cessation
rdo rje 'chang chen|le grand vajradhara
'chi ba dang sre ba|intégration de la mort, fusion avec la mort
lhan cig skyes pa|coémergent, concomitant, inné
lhan cig 'byung ba'i rgyu|cause coexistante/accompagnatrice
mtshungs ldan gyi rgyu|cause concomitante, cause associée
de ma thag pa'i rkyen|condition immédiate
spyi mthun gyi las|actions générales concordantes, actions communes
rkyen|condition
'dus byas kyi chos|phénomènes conditionnés/ composés
ting nge 'dzin|absorption,
'khor ba|le cycle (des existences); périmètre, rotation, disque, révolution,
'khrul pa|illusion, erreur, erroné, confus, tromperie,
lta ba nyon mongs can|les vues perturbées
btags pa|désignation, formulation
so sor rtog pa'i shes rab|la sagesse d'investigation individuelle
bdag rkyen|condition souveraine
rdul rdzas brgyad|les huit substances; huit atomes substantiels
rnam par grol ba'i phung po|l'agrégat de totale libération
ting nge 'dzin gyi phung po|l'agrégat de l'absorption
tshul khrims kyi phung po|l'agrégat de la discipline
rnam par grol ba'i ye shes mthong ba'i phung po|l'agrégat de la vision de la sagesse première de totale libération
shes rab kyi phung po|l'agrégat du discernement
rlung|vent
snod bcud|habitacle et habitants
rgyas pa'i rgyu|cause de croissance
phyi don|objet extérieur
'byung ba bzhi|les quatre éléments
rdzogs chen|la grande perfection
stong gsum gyi stong chen po'i 'jig rten gyi khams|univers trichiliomégachiliocosme
gzhi snang|apparence/manifestation de la base/du fondement
sems tsam pa|tenant-de-l'esprit-seul
rig pa ma smin pa|présence éveillée immature
glo bur gyi dri ma|taches adventices
theg pa dman pa|petit véhicule
byed rgyu nus med|cause productive sans efficace
las kyi bag chags|les empreintes des actions
bag chags|empreintes, tendances
rten cing 'brel bar 'byung ba|production dépendante
thig le'i stong pa'i sgron ma|la lampe vide qui est goutte
shes rab rang byung gi sgron ma|la lampe de la sagesse née d'elle-même
dbyings rnam par dag pa'i sgron ma|la lampe du pur domaine
bsam gtan|recueillement
nyams|pratique
ngan 'gro|mauvaises destinées; destinées malheureuses/misérables; mauvaises migrations; conditions misérables
ngo bo|essence
lung ma bstan gyi chos|phénomènes neutres
so sor brtags min gyi 'gog pa|cessation non analytique
gnyis su med pa'i ye shes|sagesse primordiale de non-dualité
mtshon bya|objet caractérisé
shes bya|le connaissable
dmigs pa'i rkyen|condition objective
dmigs pa'i yul|objet d'observation
byed rgyu|cause d'accomplissement
mdangs|éclat, rayonnement; chatoyance
sgro btags|surimposition; fabrications conceptuelles
bdag tu 'dzin pa|la saisie d'un soi
nyer len gyi rgyu|cause d'appropriation
kun rdzob|relatif, conventionnel
skal pa|bonne fortune/ prédisposition
kun tu btags pa|désigné, nominal
khyad chos|qualité spécifique/ particulière
khyad bzhi|base des qualités
'khor ba'i rten 'grel|production dépendante du cycle
kha nang du phyogs te nga'i shes|sens intérieur du "je"
khrel|respect par rapport à soi-même
dgongs pa rnam pa bzhi|les quatre intentions
mnyam pa nyid la dgongs pa|l'intention d'égalité
dus gzhan la dgongs pa|l'intention d'un temps différent
don gzhan la dgongs pa|l'intention d'un sens différent
gang zag bsam pa la dgongs pa|l'intention de l'inclination/ disposition des personnes
sgra ji bzhin min|non littéral, non classique
dgag bya|objet de négation/ réfutation
sgrub byed|démonstration, preuve; démontrer, prouver
'gal zla dmigs pa|observation d'une chose contraire/ contradictoire
sgra tshad gyi gzhung|textes de grammaire et de logique
'gal zla|contraire, contradictoire
sgrub rtags|raison qui serait affirmative
nges 'byed cha bzhi|quatre états [en harmonie avec] la pénétration définitive
dngos po gshis gyi gnas lugs|mode d'être naturel des choses
nges pa|définitif; certain; certitude
dngos la gnod byed|dommage à l'enseignement littéral
nges 'dzin|identifier; déterminer; reconnaître
ngo bo nyid med pa|absence d'essence propre
mngon zhen|attachement; fixation
dngos med|non-chose (au sens de ne pas effectuer une fonction); non-chose (inexistant)
dngos po stobs zhugs kyi tshad ma|connaissance valide liée à la force des choses
nges par rtog pa|analyse concluante
mngon par 'du byed|facteurs de compositions; créer
ngo tsha|respect humain/par rapport à autrui
ngang|état, condition; contexte
che long|évident; approximatif
chos rab rnam 'byed so sor rtog pa|investigation approfondie des phénomènes
chad pa|annihilation, anéantissement
'char sgo|ouverture pour l'apparition/le lever de la conscience
chos can mtha' dag|totalité du monde phénoménal
gcig tu chub pa|rassembler; intégrer
sgom pa|méditation
ngal dub kyi mtha'|l'extrême des austérités
'dod pa bsod nyams kyi mtha'|l'extrême des gratifications
'bras bu|le fruit; le résultat
nang pa|Les bouddhistes s'appellent eux-mêmes « ceux de l'intérieur » (nang pa), ce qui peut s'entendre de deux façons : il s'agit soit de ceux qui sont entrés dans une adhésion aux principes de l'enseignement du Bouddha, c'est-à-dire qui ont pris refuge en le Bouddha, le Dharma (son enseignement) et le sa?gha (la communauté des pratiquants), soit en référence au fait que les disciples du Bouddha s'intéressent principalement à ce qui est intérieur, c'est-à-dire l'esprit.
theg pa gsum|Les trois véhicules ou approches (theg pa ; yana) sont ceux des auditeurs, des bouddhas solitaires et le grand véhicule, les deux premiers relevant du petit véhicule. Il faut noter que le véhicule adamantin est parfois considéré comme le troisième (les deux premiers seront alors le petit et le grand véhicule). Kongtrül se conforme à la présentation dans laquelle le véhicule adamantin est l'une des deux divisions du grand véhicule, le véhicule des perfections formant la seconde.
theg pa|Véhicule ; Katz, 1983, p. 111-112, précise que « étymologiquement le terme [yana] vient de la racine sanskrite ya- qui signifie « aller ». Il exprime l'idée d'aller ou d'avancer mais également le moyen de transport ou le véhicule ; il est très proche de certaines connotations de marga, « chemin » [.] Ainsi, ce terme dérivé du verbe « aller » renvoie à toute une gamme de sens allant de la carrière spirituelle au chemin ou à la voie, en passant par le moyen de transport ou le véhicule».
gsang sngags|Le terme « mantra secret » (gsang sngags) ou « mantrayana » (sngags kyi theg pa) est synonyme de véhicule adamantin (rdo rje theg pa).
rig byed bzhi|Les quatre veda : ce sont les textes ou les sciences majeures de l'Inde ancienne qui constituent le fonds de la tradition brahmanique. A l'origine, il y en avait trois : le Véda des offrandes (ou sacrifices : mchod sbyin gyi rig byed ; yajurveda), celui des aphorismes (nges brjod kyi rig byed ; ?igveda) et de la poésie (snyan tshig gi rig byed ; samaveda). Un quatrième s'y est ensuite agrégé, le Véda de l'administration ou de la politique (srid srung rig byed ; atharvaveda).
mchod sbyin gyi rig byed|le Véda des offrandes (ou sacrifices)
nges brjod kyi rig byed|le Véda des aphorismes
snyan tshig gi rig byed|le Véda de la poésie
srid srung rig byed|le Véda de l'administration ou de la politique
grub mtha'|Ce que l'on nomme un « système philosophique », une « philosophie » ou une « école de pensée » est la traduction du sanskrit siddhanta, qui signifie littéralement une « conclusion établie » ou la « limite de ce qui est établi ».
nges tshig|« étymologie » : à entendre de manière spécifique : cela signifie que les différentes composantes d'un mot sont disséquées afin d'en acquérir une compréhension précise. Une telle « étymologie » n'est généralement pas ce que l'on entend par ce mot en Occident, où il s'agit plutôt de retracer les développements phonétiques, graphiques et sémantiques d'un terme et d'identifier les mots de même origine dans une autre langue, etc.
sangs rgyas|Bouddha ; Les traducteurs ont exprimé deux des sens du sanskrit buddha dans leur traduction du mot par sangyé, « celui qui est éveillé et épanoui », qui dérivent des verbes pra-buddha, « s'éveiller » et vi-buddha, « s'épanouir ». Cette étymologie est exposée par Yasomitra dans son Sous-commentaire du Trésor de phénoménologie, Dg. T. Beijing 80, p.6 : « buddha: c'est parce que son intelligence s'est épanouie que buddha signifie « s'épanouir » (rgyas pa ; vi-buddha), comme pour un lotus en fleur. Une autre signification est que buddha signifie « s'éveiller » (sad pa ; pra-buddha), comme une personne qui se réveille, parce qu'il est libre de la dualité qu'est le sommeil de l'ignorance. » Le tibétain sangyé a ensuite été expliqué comme désignant « celui qui s'est extrait (s'est « éveillé ») des ténèbres des deux voiles et a développé la brillance des deux connaissances », définition que l'on trouve dans le Grand Dictionnaire tibétain-chinois
nyan thos|Auditeurs; Hopkins présente ainsi la double étymologie du mot sravaka : « Sravaka (nyan thos) est traduit par « auditeurs » parce qu'ils écoutent (nyan) la doctrine, la pratiquent, puis font entendre [aux autres] (thos par byed pa) qu'ils ont atteint leur but. Cette étymologie découle des deux connotations active et causative de la racine verbale pour l'ouïe, sru ; on écoute et on fait entendre aux autres, non ce que l'on a entendu, mais ce que l'on a accompli en mettant en ouvre les doctrines écoutées [.]. Bien qu'il y ait deux étymologies pour sravaka, elles ne sont pas construites autour de deux racines verbales distinctes mais autour du seul verbe sru, considéré dans le mode actif ou passif, et avec des interprétations différentes de ce qui est entendu [...] et de ce qui est énoncé.
'phags pa'i bden pa bzhi|les quatre vérités des nobles ; En ce qui concerne l'expression « quatre vérités des êtres nobles » (caturaryasatya), le terme sanskrit satya (tib : bden pa) désigne ce qui est vrai ou réel. Le mot « vérité » (bden pa ; satya) s'entend donc dans le sens d'une vérité empirique ou effective, et non dans le sens d'une vérité formelle ou logique.
nyer len gyi phung po|le terme « agrégats appropriés » indique que les agrégats contaminés sont issus des actions appropriantes [ou causes substantielles] que sont le karma et les passions antérieures, et qu'ils génèrent les actions appropriantes [ou : sont la cause substantielle] du karma et des passions futurs.
gzugs med skye mched mu bzhi|Les quatre sphères du sans-forme : (1) l'espace infini (nam mkha' mtha' yas), (2) la conscience infinie (rnam shes mtha' yas), (3) le néant (ci yang med pa), et (4) ni perception ni non-perception ('du shes med min).
nam mkha' mtha' yas|l'espace infini : l'une des quatre sphères du sans-forme
rnam shes mtha' yas|la conscience infinie : l'une des quatre sphères du sans-forme
ci yang med pa|le néant : l'une des quatre sphères du sans-forme
'du shes med min|ni perception ni non-perception : l'une des quatre sphères du sans-forme
gnas ngan len pa|« tendances néfastes », ou littéralement « appropriations de lieux négatifs » : désigne à la fois les graines, ou causes, des passions et les tendances habituelles qu'elles créent. Il s'apparente au terme « agrégats d'appropriation ».
phra rgyas|Les tendances latentes : elles sont le sujet du cinquième chapitre du Trésor de phénoménologie. Vasubandhu explique dans son Explication du Trésor de phénoménologie que les passions latentes sont appelées « tendances latentes » (nyon mongs pa nyal ba la ni phra rgyas zhes bya)
nyon mongs|les passions: les six passions racines sont l'attachement ('dod chags ; raga), l'aversion (khong khro ; pratigha), l'orgueil (nga rgyal ; mana), l'ignorance (ma rig pa ; avidya), le doute (the tshom ; vichikitsa) et les opinions (lta ba ; d?i??i).
gzhi dang snying po me tog gis brgyan pa|Le domaine du nirmanakaya du bouddha Vairocana

