Tibétain,Sanskrit,Anglais,Sens racine Français,"Autres termes rencontrés",Definition,Ordre alpha tib
myong khrid ,,,"Instructions basées sur l’expérience,","guider, enseigner en fonction de son expérience",,879
myong ba ,,,"Expérimenter,
Eprouver,","éprouver, expérience, ressentir, percevoir, goûter
réalisation plus profonde fondée sur notre expérience",,880
myos ,"moda, majjana",,"Fou,
Ivre,","extatique, déchaîné, fou furieux, ivre, aliéné, abruti, hébété",,881
"dmar khrid 
= smar khrid ",,,"Instructions crues, brutes, qui ne cachent rien,","instructions crues, cruciales, exposer nûment, sans rien cacher, mettre l’essentiel à nu","enseignement qui expose la nature de la réalité nûment comme s’il révélait le sang, rouge (dmar ), du cœur
→ LDZ p 84",882
dmigs gtad ,,,"Orientation,
Direction,
Point de référence,","but imaginaire, intention particulière, dessein, méditation dirigée sur un point particulier, cadre, point de référence, but préconçu",,883
dmigs pa ,"ālambana, ālaṃbana",observed object (SL BP),"Orientation,
Direction,
Ce vers quoi l’on se dirige, l’on se tourne
Ce que l’on se représente,

Se tourner vers,
Se diriger vers,

Représentation,
Imagination,
Visualisation,","ce vers quoi l'esprit se dirige, se tourne, direction, (support) objectif, objectivement, référenciel, orientation de l'esprit, se tourner vers, penser à, noème (objet intentionnel de pensée), noèse (acte par lequel la pensée vise un objet (noétique)), considérer comme étant, objet intentionnel, se focaliser sur, avoir un but, une cible particulier, en référence à
(objet, support de la) pensée, de la perception, (prendre pour, cadre de) référence, imagination, imaginer, penser, conception, imaginaire, idée, objectif, champ, objet d'observation, concepts, conceptuel, notions, cadre, construction (illusoire), structure conceptuelle, imaginée, visualisée, crée par le mental, 'objective', d'esprit, conscience, acceptation, approbation
voir, visualisation, représentation, percevoir, vision, perception, envisager, envisionner
attitude mentale observable, esprit
obtenir, obtention
le côté, coin",,884
"dmigs med 
= mi dmigs 
= dmigs su med 
= 'khor gsum dang bral ba ","anupalambha, niravalamba, anupalabdhi, anālambana, anālaṃbana",,"Sans représentation,
Sans référence,
","sans, libre de, au-delà de toute (point de) référence, notion, concept, but, cible particulier, référenciel objectif, objet (spécifique), sujet ni objet, idées, direction (particulière; précise), visée mentale, référence à un sujet, cadre de référence, structure, imagination, représentation, discursivité, conceptualisation
ne peut être pensé en termes de, inobjectifiable
fixation sans objet, l'esprit complètement libre, non imagination, non discursif, inconcevable, non conceptualisation, inobservabilité, le non appréhensible, amorphe",,885
dmyal ba ,naraka,,"Enfer,","enfer, états, existences infernaux, extrêmes, géhenne (enfer dans les écrits bibliques)",,886
"rmad du byung ba 
= rmad byung ",adbhūtadharma,,"Evenement extraordianaire, merveilleux,","événements extraordinaires, merveilleux, merveilles, complètement époustoufflant, étonnant, épatant, exceptionnel, incroyable, formidable, ahurissant, ne pas en revenir, inimaginable, remarquable, splendide",,887
rmi lam ,svapna,,Rêve ;,"rêve, onirique, songe",,888
rmugs pa ,,,"Obsurité,
Opacité,","brume, brouillard, opacité (mentale)",,889
rmongs pa ,,,"Stupide, 
Bête,
Aveuglé","stupide, bête, obscurcissement, ignorance, confusion, bêtise, stupidité, aveuglement",,890
sman ,bhaiṣajya,,"Médecine
Médicament,","médicament, médecine (spirituelle, herbale), nectar, remède, effets thérapeutiques",,891
"smin sgrol 
= dbang khrid ",,,"Murir et libérer,
Les initiations qui font murir et les instructions qui libérent.","maturation, atteindre la, venue à maturité, mûrissement, développement, (les initiations qui font) mûrir,
et
la libération, délivrance, (et les instructions qui) libèrent (dans le Vajrayāna)
mûrissement parfait de la libération","sgrol : les instructions et entraînements qui libèrent notre esprit des voiles
smin sgrol rgyab chos gsum : maturation, libération et instructions d'appui que sont les initiations, l'orientation et la transmission",892
smin pa ,vipāka ,,"Murir,
Maturer,","maturation, venue à maturité, mûrissement",syn d'initiation,893
smin ma ,"bhṛkuṭī, bhṛkuṭīṃ",,"Sourcils,","sourcils, arcades sourcilières",,894
smon 'jug ,,,Aspiration et application (les deux bodhicitta relatives),"se décider sur, aspiration, inspiration, souhait,
et 
poursuivre, entraînement à proprement parler (de bodhicitta), entrée dans, entreprendre réellement",,895
smon pa ,,,"Souhaiter,
Aspirer,","souhaiter, aspirer, désirer, intention",,896
smon pa med pa ,apraṇihitam,absence of expectancy (SL BP),"Sans aspiration,
Sans intention,","sans, libre, dépourvu, absence d'aspiration, de désir, de dessein, de souhait",,897
smon lam ,praṇidhāna,,"Souhaits,
Aspiration,","prière (d'aspiration à), (formule de) souhaits (agissants), (formuler des) vœux, bons souhaits, aspiration éveillée",,898
"smon sems 
= smon pa'i sems bskyed  ",,,"Bodhicitta en aspiration,","esprit d'éveil, bodhicitta (en, comme, d') aspiration, d'intention",,899
"smos ci dgos 
= smos ci 'tshal ",,,"Va sans dire,","va sans dire, alors que dire de, inutile de mentionner, préciser",,900
"smyung ba 
= smyung bar gnas pa  
= smyung gnas ",,,"Jeûner,",jeûner,,901
smyon pa ,,,"Perturbé,
Dérangé,
Fou,","perturbation, dérangement, fou (dérangé), aliéné, dément
folle (sagesse), yogis réalisés errants (vivant en-dehors des normes sociales), siddhas sage-fous d'antan, saint homme fou",,902
smra ba ,,,"Dire,
Enoncer,
Professer,
","exprimer, parler, dire énoncer, professer, déclarer, signifier, paroles",,903
"smra bsam brjod med 
= smra bsam brjod las 'das pa 
= smra bsam las 'das pa 
= bsam yul 'das pa 
= bsam brjod med pa = bsam brjod 'das pa ",,,"Indissible, impensable et inexprimable,","ineffable, indiscible, indescriptible, inexprimable, sans, la grande transcendance de, au-delà de, hors de l'atteinte, de la portée des paroles, de l'expression, description, libéré de (tous les) mots et expressions phonétiques, indémontrable par les mots, informulable, incommunicable, 
inconcevable, impensable, des concepts, de l'imagination, de la pensée, des pensées, des conceptions, il n'y a pas moyen d'y penser, 
et
inexprimable, indescriptible, des expressions, exempt des limites de l'expression, de la description, pas moyen de l'exprimer, au-delà de l'expression en (termes de) mots, inexplicable",,904
Tsa ,,,,,,905
gtsang ,,,"Pur,
Propre,
La province du Tsang",pur,"gtsang 
(RY) Tsang, one of the two main provinces of Central Tibet. Tsang One of the two central provinces of Tibet, the other being U. *, clean; a district in Tibet, *, clean, immaculate",906
gtsang rme ,,,"Pur et impure,
Propre et sale,
Propreté","pur, propre, pureté, propreté,
et 
impur, impropre, saleté, impureté",,907
gtsang ris gnas ,śuddhādhivāsa,,"Lieu pur,
Nom des pures demeures de Brahmâ","les demeures pures, de Brahmā",gtsang ris gnas,908
gtsug rgyan ,,,"Ornement du sommet de la tête, 
Ornement de l’ushnisha","tiare, couronne, diadème",gtsug rgyan,909
gtsug tor ,uṣṇīṣa,,"Ushnisha,
Protubérance crânienne des Bouddhas,","protubérance crânienne, chignon, uṣṇīṣa, apex, crête, vertex, dôme coronal","gtsug tor 
(RY) crest or crown. ushnisha/ prominence above the crown of the head; [tuft of hair / fleshy protuberance on the top of a buddha's head]; cowl. protuberance on head of a buddha, one of thirty-two major marks. usnika. Tuft of hair on the crown of the Buddha's head une des 32 marques majeures d'un Bouddha

la lumière qui émane depuis la couronne d'un bouddha
la lumière dont personne ne peut atteindre les limites, toucher la fin",910
gtsug lag khang ,vihāra,,"Temple des Trois Joyaux,","temple (bouddhique), lieu sacré","gtsug lag khang
(RY) a monastery; temple/ main shrine hall; temple, vihara, dwelling place for monks, monastery. Vihara. A Buddhist monastery or monastic college. monastery, vihara. main temple

gtsug lag : Parole du Bouddha, écritures",911
gtso bo ,pradhāna,"principal substance (SL BP)

principal (SL MW)","Le principal,
L’essentiel,
Le plus important,

Prince,
Seigneur,
Suprême,

","principal, général, maître, chef (suprême, de tous les maṇḍala), le plus important, prédominant, de la première importance, suprême parmi, central, prééminent, excellence
prince, seigneur, souverain
point essentiel, l'essence, sujet principal, emphase
spécialement, plus particulièrement, principalement
soi-même
premièrement","gtso bo 
(TDC)
1) spyi khyab dang, rje bo,...khong gtso bor byas pa'i 'thus mi tshogs pa,...ming gi rnam grangs la khyad thon dang, mgo ma, sngon ma, mchog gyur, mchog tu byung ba, dangpor gyur pa, dam pa, drag shos, phul byung, phyi phyed min pa, bla na med pa, rtser thon, rtser byung, gzhankhyad can, rab, rab rtsom bcas so, 2) gnad dam, snying po,...rgyu rkyen gtso bo khyod la thug 'dug  ...don gyi gtso bobstan nas bshad song,...3) grangs can pas rdul mun snying stobs gsum cha mnyam pa'i gnas skabs kyi rtsa ba'i rang bzhin zer ba 'bras bu thams cad kyi rgyu byed pa shin tu lkog tu gyur pa zhig yod ces sgro btags pa de'o,...
 
(RY) the greatest {rang 'byor lnga'i gtso bo} the greatest the five individual advantages. 'primal substance' or prakriti [eternalist view]. essential, lord, chief, leader, foremost, * one; chief figure; chief, lord, *, leader, foremost, main, central, essential, chief / main figure, * deity, chief figure; leading principle, basis, the primary; the highest, the most excellent, main or chief figure, *; primal matter. Syn {rang bzhin}; chief, lord, *, leader, foremost, main, central, essential, chief / main figure, leading principle, basis, the primary. primary / main [ggd]",912
gtso sems ,,,"L’esprit central
L’esprit principal","esprit principal
la conscience"," (TDC) gtso sems, 
rang gi 'khor du byung ba'i sems byung yod pa'i rnam rig rnam shes tshogs drug la sogs pa'o,...

sems byung, rang yul du gyur pa'i don gyi khyad par rang stobs kyis mthong ba'i rig pa sems las byung ba ste, tshor ba la sogs pa lnga bcu rtsa gcig go ,...

« L’esprit principal ou central » est la cognition duelle, les six classes de consciences, autour desquelles apparaissent, de leurs pouvoirs inhérents, les « émergences de l’esprit » (sems byung) qui vont constituer les objets de l’esprit central.

sems byung lnga bcu rtsa gcig  kun 'gro lnga dang, yul nges lnga dang, rtsa nyon drug dang, nye nyon nyi shu dang, dge ba bcu gcig dang, gzhan 'gyur bzhi bcas so,...

(RY) gtso sems
 primary acts of cognition. main / primary mind / cognitive act. Syn {gtso bo sems}, {rnam shes}, {yid}. main / primary mind, stream of consciousness / cognitive act, [sm. {gtso bo sems}, {rnam shes}, {yid}",913
"btsun pa 
= btsun ma ",,,"Hon. :
Moine,
Moniale,
« Personne qui a abandonnée les activités négatives du corps, de la parole et de l’esprit. »","vénérable, h moine, nonne, révérend, noble
dignité, noblesse, accorte, avisé, grâcieux, avenant","(TDC) btsun pa, 
1.sgo gsum gyi kun spyod zhi zhing dul ba'i grva pas pyi dang, grva pa'i zhe sa,...2.sgo gsum gyi nyes spyods pangs pa,... 

(RY) btsun pa 
{rigs mtho zhing btsun pa rigs bzang ba'o} 'High station' means to be noble and of virtuous character. uprightness, respectability, decency; honorable. *; a monk/ respected, revered; virtuous, respectable, noble, monk, reverend etc. lord. venerable, pious monks. respectability; decorum; good behavior",914
btsun mo ,,,"Reine,
Princesse,
Seigneuresse,
Noble dame,
Maîtresse
","princesse, reine","(TDC) btsun mo, 
rgyal po'i chen ma dang chung ma,...ming gi rnam grangs la skye rgu'i bdag mo dang, rgyal mo, rgyal rigs chung ma, rgyal rigs ma, jo mo, rje mo, 'dren pa mo, pho brang 'khor ba, 'phags ma, mi bdag mo, sa spyod ma bcas so,
",915
rtsa ,"nāḍi, nāḍī",,"Racine,
Source,

Nadis,
Canaux (du corps vajra),
Veines,
Artères,
","les veines, artères, nerfs 
les canaux subtils, psychiques, d'énergie","(RY) nadis; [detailed expl., Light of Wisdom, Vol. 2, page 35]. Tsa, in Domey. artery, vein, nerve. Nadi. The channels in the vajra body through which the energy currents move",916
rtsa chen po ,,,"Important,","très élevé, précieux, sacré, important",,917
rtsa ltung ,"mūlapatti, mūlāpatti",,"Les sources de chutes
Les chutes racines ","les chutes, violations principales, essentielles, majeures, fondamentales, premières, de base, racines","(TDC) rtsa ltung, 
sngags sdom gyi rtsa ba'i ltung ba ste, ljon shing gi rtsa ba ltar bsrungs na lam dang 'bras bu'i yon tan thams cad bskyed pa'i rtsa ba yin zhing, ma bsrungs na ngan 'gro'i rgyu dang sdug bsngal gyi rtsa bar gyur pa'i dbang gis phyi ma gnas 'og nas 'og tu ltung bar 'gyur bas rtsa ltung zhes bya'o,...
",918
"rtsa 'dab 
= rtsa 'khor ",cakra,,"Canaux pétals,
Canaux rayons,
","pétales, rayons, roues, centres des canaux, des cakra","(RY) rtsa 'dab 
radial channels. nadi petals, around the {rtsa 'khor} nadi centers",919
rtsa ba ,mūla,,"Racine,
Base,
origine, 
source,

Important,
Texte racine,

,","racine, origine, source, cause, germe, souche
support, base, fondement
le centre, principal, majeur, le point essentiel, fondamental, premier, primaire
texte racine
extraction","(TDC) rtsa ba,...
1) rtsva dang shing sogs kyi rkang pa'am sa 'og tu yod pa'i sdong bu,...shing gi rtsa ba spom phra tshang ma sa 'ogtu brgyugs nas yod,...dug rtsva'i rtsa ba bkog pa,...sdong pokhog nang nas rul na, rtsa ba rang bzhin gyis gog yong,...2) rten gzhi'am rmang gzhi,...spyi tshogs ring lugs kyi rtsa bab rtan po tshugs zhin pa,...thon skyed rgyu chas sger la dbangba'i lam lugs de bshu gzhog dar ba'i rtsa ba red,...3) gzhi ma'am 'byung gzhi,...chu'i rtsa ba,...dmag 'khrug gi rtsaba,...nor 'khrul rnams rtsa ba nas legs bcos gtong ba,...nad rornying pa rtsa ba nas 'byin pa,...4) gtso bo dang, lte ba'am,gnad,...bzo las kyi rtsa ba'i 'dzugs skrun,...rgyal pham gyirtsa ba,...'char gzhi'i rtsa ba,...5) bshad bya'i rtsa gzhung,...gzhung rnying gi rtsa ba phal cher go khag po 'dug...
",920
"rtsa ba gsum 
= rtsa gsum ",trimūla,,"Les trois sources,
Les trois racines,

Les trois canaux,","les trois racines, sources (des accomplissements)
les trois canaux","1) Lama, guru
2) yidam, deva
3) protecteur et ḍākinī

• 1) ro ma, rasanā, iḍā (à droite, blanc)
2) rkyang ma, lalanā, piṅgalā (à gauche, rouge) 
3) dbu ma, avadhūtī, dhūtī (au centre) (GCLAvr93)",921
rtsa ba'i sde pa bzhi ,,,"Les quatre classes de textes fondamentaux des Auditeurs,",les quatres premières écoles (des śrāvaka),"(TDC) rtsa ba'i sde pa bzhi, 
nyan thos kyi rtsa ba'i sde pa ste, 'od srungs nas brgyud pa phal chen sde pa dang, sgra gcan 'dzin nas brgyud pa gzhi thams cad yod par smra ba'i sde pa, ka ty'a ya na nas brgyud pa gnas brtan pa'i sde pa, nye bar 'khor nas brgyud pa mang bkur ba'i sde pa bcas bzhi,...
sde pa,...
1) yul lung so so'i las mi'i 'go byed,..2) gsal byed kyi sde tshan,...bod yig gsal byed sde pa dang po,...ka kha ga nga...3) (mngon) sngar rgya gar gyi sangs rgyas pa tshor gnas brtan pa dang, thams cad yod par smra ba, mang pos bkur ba, phal chen pa ste rtsa ba'i sde pa la bzhi yod pas grangs bzhi mtshon,...
",922
rtsa ba'i bla ma ,,,"Lama source,
Lama racine,","Lama racine, source, principal",,923
rtsa ba'i rlung lnga ,,,"Les cinq souffles fondamentaux,","les cinq souffles principaux, énergies vitales racines","1) le souffle vital
2) l'air évacuateur
3) le souffle qui se meut dans la partie supérieure
4) le souffle qui reste égal
5) le souffle omnipénétrant (GCLAvr93)",924
rtsa rlung thig le ,"nāḍi/ nāḍī, vāyu/ prāṇa, bindu",,"Les canaux, souffles et graines essentielles (du corps vajra)","les canaux (subtils, structurants, d'énergie, psychiques), veines,
souffles (d'énergie), énergies, vents mobiles, air, motilité,
et
essences (de bodhicitta), points séminaux, gouttes (quintessentielles, essentielles), énergie vitale, sphères, sphérules, énergie psychique, noyaux essentiels, esprit d'éveil","(TDC) thig le,...
1) klad kor,...2) grangs gnas 'dzin byed kyi thig le,...ming gi rnam grangs la stong pa dang nam mkha'o, 3) nying khu,...snying gi thig le,...4) gsang sngags las gsal ba'i rtsa thig rlung gsum gyi zlas phye ba'i thig le ste bde ba chen po'i snying po'am sa bon du gyur pa, rtsa rnams kyi gnas su dvangs snyigs sna tshogs kyi rnam par gnas pa'o,.ming gi rnam grangs la kunda dang, khams dkar po, khu ba, dvangs ma, sa bon bcas so,
",925
